zipcode
10118
10166
10119
10178
10120
10271
10168
10104
10105
10155
10121
10122
10169
10279
10167
10177
10107
10278
10172
10171
10112
10173
10154
10152
10174
10170
10123
10115
10110
10162
10175
10055
10041
10176
10165
10158
10111
10103
10270
10151
10153
10106
10116
10113
