,facility_id,program_type,facility_status,facility_name,city,zipcode,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude,under-5_capacity
1517,879839,GFDC,License,"Mota, Carmen",Bronx,10452,Bronx 9,0,0,0,0,12,12,40.842609,-73.914971,0.0
1518,858059,GFDC,License,SWEET B DAY CARE LLC,Bronx,10468,Bronx 10,0,0,0,4,12,16,40.867785,-73.895565,0.0
1519,410849,GFDC,License,SABRINA'S LIL ANGELS LLC,Albion,14411,Albion,0,0,0,4,12,16,43.25622,-78.181362,0.0
1520,563754,GFDC,License,The Good Samaritan Family Daycare Corp.,Bronx,10466,Bronx 11,0,0,0,2,12,14,40.888034,-73.850401,0.0
1521,617453,SACC,Registration,NYJ Tennis Leaque @ M.S. 147Q,Queens,11411,Queens 29,0,0,0,157,0,157,40.697431,-73.74061,0.0
1522,562346,GFDC,License,"Pinckney, Marvina",New York,10039,Manhattan 5,0,0,0,4,12,16,40.827912,-73.939318,0.0
1523,794252,GFDC,License,Tiny Steps LLC,Bronx,10461,Bronx 11,0,0,0,4,12,16,40.847335,-73.849046,0.0
1524,733560,GFDC,License,"Malachi Child Care, LLC",Hempstead,11550,Hempstead,0,0,0,4,12,16,40.712163,-73.611422,0.0
1525,589324,GFDC,License,RUTHBEST DAY CARE,Jamaica,11434,Queens 27,0,0,0,4,12,16,40.67601,-73.78193,0.0
1526,427975,GFDC,License,"Philbert, Charmaine",Brooklyn,11203,Brooklyn 18,0,0,0,4,12,16,40.652094,-73.937979,0.0
1527,40591,DCC,License,Greenville Church Nursery School,Scarsdale,10583,Edgemont,0,12,56,0,0,68,40.992418,-73.818007,45.6
1528,793914,GFDC,License,JOYFUL KIDS GROUP FAMILY DAYCARE CORP,Bronx,10468,Bronx 10,0,0,0,4,12,16,40.863579,-73.904163,0.0
1529,814479,SACC,Registration,"BronxWorks, Inc.",Bronx,10454,Bronx 7,0,0,0,90,0,90,40.806359,-73.921026,0.0
1530,262808,SACC,Registration,"Young Men`s Christian Association of Central New York, Inc.",Baldwinsville,13027,Baldwinsville,0,0,0,75,0,75,43.13413,-76.313449,0.0
1531,877064,DCC,License,SCOPE Education Services,Westbury,11590,East Meadow,8,12,15,0,0,35,40.743011,-73.569752,29.0
1532,29881,GFDC,License,Personal Touch Child Care Service,Peekskill,10566,Peekskill,0,0,0,4,12,16,41.278358,-73.924684,0.0
1533,695557,GFDC,License,LITTLE HEARTS GROUP FAMILY DAY CARE INC.,Elmhurst,11373,Queens 24,0,0,0,4,12,16,,,0.0
1534,814806,SACC,Registration,"Maspeth Town Hall, Inc. @ PS 330",Corona,11368,Queens 24,0,0,0,251,0,251,40.757694,-73.859143,0.0
1535,733423,GFDC,License,"Loais Day Care, Inc.",Uniondale,11553,Uniondale,0,0,0,4,12,16,40.698472,-73.599402,0.0
1536,774320,GFDC,License,"Creative Care by Karin, LLC",Ithaca,14850,Ithaca,0,0,0,4,12,16,42.482646,-76.564678,0.0
1537,841083,DCC,License,"CHILDTIME CHILDCARE, INC",Mechanicville,12118,Ballston Spa,23,21,39,30,0,113,42.960009,-73.789483,67.4
1538,738422,GFDC,License,"Parkin- Ibrahim, Amanda",Verona,13478,Sherrill,0,0,0,4,12,16,43.169619,-75.526017,0.0
1539,361699,DCC,License,"Shining Stars Daycare, Inc.",Liverpool,13088,Liverpool,16,24,75,40,0,155,43.113805,-76.179315,85.0
1540,369613,GFDC,License,Gamma's House Inc.,Staten Island,10304,Richmond 31,0,0,0,4,12,16,40.619471,-74.081901,0.0
1541,592436,FDC,Registration,"Cozy Time Daycare, LLC",Harrison,10528,Harrison,0,0,0,2,6,8,40.963603,-73.722458,0.0
1542,458801,GFDC,License,"Reyes, Dilcia",Bronx,10468,Bronx 10,0,0,0,2,12,14,40.862001,-73.907067,0.0
1543,236868,FDC,Registration,Handle With Care Daycare,Port Ewen,12466,Kingston,0,0,0,2,6,8,41.903973,-73.980589,0.0
1544,39157,DCC,License,"Serendipity Day Care Center, LLC",Voorheesville,12186,Voorheesville,7,12,30,30,0,79,42.654763,-73.925093,37.0
1545,73915,SACC,Registration,YMCA of Greater NY @Staten Island ASP PS 22,Staten Island,10303,Richmond 31,0,0,0,191,0,191,40.62516,-74.151186,0.0
1546,295398,SACC,Registration,Sunshine Day Care After School Program,Brooklyn,11221,Brooklyn 16,0,0,0,30,0,30,40.687055,-73.942283,0.0
1547,8319,GFDC,License,Linda's Little People,Baldwinsville,13027,Baldwinsville,0,0,0,4,12,16,43.152684,-76.338235,0.0
1548,43405,DCC,License,"Eleanor Whitmore Early Childhood Center, Inc.",East Hampton,11937,East Hampton,0,58,42,0,0,100,40.960877,-72.195503,83.2
1549,71143,GFDC,License,"Benjamin, Mary",Brooklyn,11208,Brooklyn 19,0,0,0,4,12,16,40.66988,-73.866509,0.0
1550,842964,GFDC,License,"Villamar, Marilyn",Bronx,10458,Bronx 10,0,0,0,4,12,16,40.870977,-73.88334,0.0
1551,40957,DCC,License,VILLAGE GREEN DAY CARE CENTER,HUNTINGTON,11743,Huntington,8,12,21,0,0,41,40.873459,-73.414797,32.6
1552,409927,GFDC,License,Shooting Stars Daycare,Plattsburgh,12901,Beekmantown,0,0,0,4,12,16,44.717475,-73.478066,0.0
1553,285276,DCC,License,Syracuse University Bernice M. Wright Child Development,Syracuse,13244,Syracuse,8,24,15,0,0,47,43.021351,-76.118677,41.0
1554,633801,DCC,License,Maple Leaf Childcare Center Inc.,Malta,12020,Ballston Spa,24,42,107,40,0,213,42.99536,-73.79097,130.2
1555,794644,SACC,Registration,"Angel Kids Christian Care Center, Inc.",Bronx,10460,Bronx 12,0,0,0,44,0,44,40.841548,-73.887022,0.0
